city,date,chat,temp,dewpoint,pm10,o3,time,season
chic,1/1/1987,130,31.5,31.5,27.791194372,4.025928087,1,winter
chic,1/2/1987,150,33,29.875,NA,4.579652287,2,winter
chic,1/3/1987,101,33,27.375,33.67381559,3.400928087,3,winter
chic,1/4/1987,135,29,28.625,40.7911943722,3.942594747,4,winter
chic,1/5/1987,126,32,28.875,NA,4.400928087,5,winter
chic,1/6/1987,130,40,35.125,41.7911943722,5.984261417,6,winter
chic,1/7/1987,129,34.5,26.75,34.791194372,8.243867977,7,winter
chic,1/8/1987,109,29,22,29.791194372,11.4477387,8,winter
chic,1/9/1987,125,26.5,29,33.183891437,3.525928087,9,winter
chic,1/10/1987,153,32.5,27.75,NA,5.037985627,10,winter
chic,1/11/1987,124,29.5,20.125,15.791194376,17.90607203,11,winter
chic,1/12/1987,111,34.5,26,19.791194376,7.989405367,12,winter
chic,1/13/1987,104,34,32.25,46.791194372,6.572738697,13,winter
chic,1/14/1987,118,37.5,36.375,36.7911943722,4.989405367,14,winter
chic,1/15/1987,109,32.5,24.25,27.772321659,4.906072027,15,winter
chic,1/16/1987,125,25,21.5,12.791194376,8.614405367,16,winter
chic,1/17/1987,128,27,24.75,NA,6.239405367,17,winter
chic,1/18/1987,141,17.5,11.125,32.791194372,6.614405367,18,winter
chic,1/19/1987,130,23,15.75,25.791194372,15.98426142,19,winter
chic,1/20/1987,133,20.5,11.5,31.791194372,5.204652287,20,winter
chic,1/21/1987,115,22,20.625,32.823085813,6.624942147,21,winter
chic,1/22/1987,121,19.5,7.375,45.791194372,10.98940537,22,winter
chic,1/23/1987,107,2.5,-12.25,48.791194372,15.69259475,23,winter
chic,1/24/1987,123,2,-5.625,31.791194372,11.35926142,24,winter
chic,1/25/1987,107,9.5,-5.25,NA,7.822738697,25,winter
chic,1/26/1987,116,16,4.75,64.791194372,4.859261417,26,winter
chic,1/27/1987,130,17.5,17.75,37.1532669023,3.781072027,27,winter
chic,1/28/1987,114,29.5,18.25,40.7911943722,6.900928087,28,winter
chic,1/29/1987,123,29.5,32.875,28.791194372,3.550011427,29,winter
chic,1/30/1987,103,32.5,24.125,52.791194372,9.031072027,30,winter
chic,1/31/1987,115,27.5,26.5,29.791194372,8.371318957,31,winter
chic,2/1/1987,127,41,32.25,NA,6.037985627,32,winter
chic,2/2/1987,131,36.5,34,41.063607139,3.662985627,33,winter
chic,2/3/1987,112,34,26.25,52.791194372,8.447738697,34,winter
chic,2/4/1987,126,31.5,24.25,32.154518248,9.784528827,35,winter
chic,2/5/1987,127,29.5,27.25,63.791194372,4.451195497,36,winter
chic,2/6/1987,103,37,30.375,56.791194372,4.794492597,37,winter
chic,2/7/1987,128,40.5,35.75,37.7911943722,4.388695497,38,winter
chic,2/8/1987,133,32.5,3.5,18.075153696,24.11786216,39,winter
chic,2/9/1987,115,24.5,17.375,35.7911943722,8.305362157,40,winter
chic,2/10/1987,124,35,27.375,29.791194372,7.117862157,41,winter
chic,2/11/1987,117,39.5,29.375,76.791194372,6.731745557,42,winter
chic,2/12/1987,116,34,24.75,77.791194372,6.138695497,43,winter
chic,2/13/1987,128,34.5,30.875,32.791194372,9.376014337,44,winter
chic,2/14/1987,119,31.5,22,23.307275566,10.11786216,45,winter
chic,2/15/1987,115,23.5,10.125,5.791194376,27.28452883,46,winter
chic,2/16/1987,107,24,18.125,7.791194376,23.36786216,47,winter
chic,2/17/1987,111,31.5,20.25,16.791194376,24.11786216,48,winter
chic,2/18/1987,116,31.5,20,20.791194376,23.35065202,49,winter
chic,2/19/1987,115,34,19.625,42.7911943722,14.70300709,50,winter
chic,2/20/1987,124,32.5,17,68.324433522,7.409528827,51,winter
chic,2/21/1987,119,38,24.5,52.791194372,2.763695497,52,winter
chic,2/22/1987,126,35.5,25.125,39.7911943722,9.826195497,53,winter
chic,2/23/1987,147,35.5,24.75,40.7911943722,12.2636955,54,winter
chic,2/24/1987,118,31.5,25.25,41.7911943722,12.0761955,55,winter
chic,2/25/1987,138,34.5,21.875,41.7911943722,16.36786216,56,winter
chic,2/26/1987,119,36,18.5,28.039547597,15.26369549,57,winter
chic,2/27/1987,100,39.5,28.25,49.791194372,13.55536216,58,winter
chic,2/28/1987,119,40,38.375,24.791194376,6.201195497,59,winter
chic,3/1/1987,123,39,28.375,8.791194376,14.55119549,60,winter
chic,3/2/1987,125,41,27.875,29.791194372,19.99286216,61,winter
chic,3/3/1987,124,36.5,14.875,25.791194372,18.90952883,62,winter
chic,3/4/1987,113,38,26.75,39.3267485801,4.763695497,63,winter
chic,3/5/1987,125,44,34.375,23.791194376,12.97202883,64,winter
chic,3/6/1987,108,48.5,39.5,69.791194372,8.424927377,65,winter
chic,3/7/1987,114,59.5,36.875,42.7911943722,24.76369549,66,winter
chic,3/8/1987,109,54.5,33.625,54.791194372,30.63869549,67,winter
